id,first_name,last_name,born_date,weight,active
1,Tasha,McRoberts,11/12/2021,107,false
2,Nadia,Woodberry,30/04/2024,77,false
3,Dorita,Bulleyn,25/12/2021,53,false
4,Nappy,Petriello,26/03/2022,46,true
5,Kaylee,Dutnall,17/08/2023,57,false
6,Babb,Maty,26/09/2023,75,false
7,Lanie,Nolli,11/01/2022,100,false
8,Jolynn,Gales,14/02/2022,60,true
9,Clara,Da Costa,13/02/2024,83,true
10,Lynn,McOwan,19/10/2023,42,false
11,Helsa,Clerc,26/10/2022,42,true
12,Glenna,Zammitt,19/11/2023,96,false
13,Hector,Castille,04/05/2023,108,false
14,Esdras,Nanson,21/07/2022,89,true
15,Janelle,Laydon,13/10/2021,49,true
16,Stearn,Lyver,29/04/2022,60,false
17,Angelia,Kohn,26/10/2022,106,true
18,Carlin,Bebis,07/11/2022,112,false
19,Harvey,Walthall,13/06/2024,104,false
20,Phil,Crafts,26/12/2022,31,false
21,Gayel,Schoales,28/06/2023,72,true
22,Scot,Grainge,09/09/2021,64,true
23,Torin,Balthasar,14/07/2024,70,true
24,Delainey,Daintrey,30/11/2023,43,false
25,Isahella,Ketcher,17/11/2023,93,true
26,Cherida,Osbaldstone,24/09/2022,41,true
27,Crawford,Murdy,12/03/2022,80,false
28,Marlena,Darwen,08/08/2022,77,false
29,Averyl,Ratie,17/01/2023,119,true
30,Liam,Beteriss,20/07/2024,47,false
31,Celia,Rulton,14/03/2024,78,false
32,Darelle,Wistance,08/09/2021,94,false
33,Nanete,Americi,04/08/2023,55,false
34,Kelwin,Fanner,16/04/2023,78,false
35,Rogerio,Borman,19/12/2021,75,false
36,Kerr,Hartigan,04/11/2021,77,true
37,Berk,Landre,07/04/2024,55,false
38,Katusha,Legister,28/03/2024,85,false
39,Giana,Zelner,28/12/2022,34,true
40,Kearney,Scholtz,05/10/2022,112,true
41,Jeffy,Heintsch,12/04/2023,62,true
42,Kassi,Norgan,02/01/2024,98,true
43,Franzen,Langcastle,06/03/2024,98,false
44,Mariya,Heys,25/05/2023,92,false
45,Gisele,Turone,23/10/2022,80,false
46,Bobina,Cantu,09/06/2023,80,true
47,Junina,Gardener,19/07/2023,111,false
48,Findley,Yarnell,18/05/2022,115,false
49,Melicent,Huggin,18/07/2024,118,true
50,Esme,Tilmouth,15/09/2021,90,true
51,Sherry,Petz,30/07/2022,97,true
52,Marina,Collingridge,08/03/2022,34,false
53,Nye,Nicklinson,05/09/2021,106,true
54,Judd,Brixey,22/08/2022,110,true
55,Desiri,Grummitt,14/07/2023,104,false
56,Joli,Vine,15/09/2021,71,true
57,Suzie,Stedmond,22/12/2021,56,false
58,Eddy,Tippetts,18/03/2022,93,true
59,Michail,McGeouch,22/05/2024,45,true
60,Stanfield,Hatherall,14/03/2024,55,false
61,Cletis,Fayers,26/01/2024,85,false
62,Kara,Stiegars,03/04/2024,109,true
63,Bent,Verey,20/06/2022,72,false
64,Felicle,Bredee,14/12/2023,44,false
65,Fredric,Yekel,21/07/2022,58,false
66,Clarinda,Dahlborg,27/05/2022,68,true
67,Giustina,Anker,17/12/2023,52,true
68,Dido,Inchcomb,18/07/2022,90,true
69,Dominica,Kenewel,09/01/2024,33,true
70,Rozamond,Middle,28/09/2023,30,false
71,Cammy,Tewes,07/03/2022,32,true
72,Howey,Lyenyng,03/12/2022,40,false
73,Horatius,Eykel,18/05/2024,37,false
74,Winni,Camber,14/05/2023,88,true
75,Lira,Austen,07/02/2023,113,true
76,Mattias,Brignell,27/12/2022,101,false
77,Kassi,Jodrelle,16/06/2022,100,false
78,Vite,Hubner,20/08/2023,35,true
79,Gibby,Trumpeter,07/01/2023,72,false
80,Dulciana,Redwing,04/08/2023,84,false
81,Charmane,Espadate,08/08/2023,65,false
82,Tasia,Tiplady,19/06/2022,42,false
83,Rochester,Meade,22/10/2021,57,false
84,Thekla,Mallord,09/05/2022,39,true
85,Kathlin,Bosma,11/06/2023,38,true
86,Bret,Peatt,15/12/2021,119,true
87,Cecilius,Jouannisson,04/06/2023,42,false
88,Corey,Sissot,01/05/2023,37,false
89,Lenci,Braund,14/02/2023,62,true
90,Thaine,Thurston,06/03/2024,71,false
91,Karlen,Gibberd,26/10/2022,72,true
92,Arie,Coorington,13/03/2022,43,true
93,Danni,Hultberg,02/10/2022,68,true
94,Berke,Henrych,12/12/2021,81,false
95,Lanette,Stopforth,01/02/2023,117,true
96,Nanny,Merwood,09/02/2022,58,true
97,Kassia,Pountney,07/02/2023,104,true
